충전소위치,충전소위치상세,휴점일,이용가능시작시간,이용가능종료시간,완속충전가능여부,급속충전가능여부,급속충전기타입,완속충전기개수,급속충전기개수,주차료부과여부,행정구역,지번주소,도로명주소,관리업체,위도,경도,제공기관명,기준일,위도경도
위미의례회관,알수없음,연중무휴,00:00,24:00,False,True,DC차데모+AC3상+DC콤보,0,1,False,서귀포시,제주특별자치도 서귀포시 남원읍 위미리 2546-1,제주특별자치도 서귀포시 남원읍 중산간동로 6862,환경부,33.289615,126.6576261,환경부,20240926.0,"[33.289615, 126.6576261]"
중문 관광단지,알수없음,연중무휴,00:00,24:00,False,True,DC차데모+AC3상+DC콤보,0,5,True,서귀포시,제주특별자치도 서귀포시 색달동 2889-1,,환경부,33.2461812,126.4143365,환경부,20240926.0,"[33.2461812, 126.4143365]"
상가리사무소,알수없음,연중무휴,00:00,24:00,False,True,DC차데모+AC3상+DC콤보,0,1,False,제주시,제주특별자치도 제주시 애월읍 상가리 1196-1,제주특별자치도 제주시 애월읍 상가중길 23,환경부,33.4497188,126.3457119,환경부,20240924.0,"[33.4497188, 126.3457119]"
표선 의례회관 앞 공영주차장,알수없음,연중무휴,00:00,24:00,False,True,DC차데모+AC3상+DC콤보,0,1,True,서귀포시,제주특별자치도 서귀포시 표선면 표선리 2103,,환경부,33.3272826,126.8233934,환경부,20240926.0,"[33.3272826, 126.8233934]"
회수사거리 인근 공영주차장,알수없음,연중무휴,00:00,24:00,False,True,DC차데모+AC3상+DC콤보,0,1,True,서귀포시,제주특별자치도 서귀포시 회수동 788-2,,환경부,33.2631165,126.4425962,환경부,20240926.0,"[33.2631165, 126.4425962]"
용암해수산업화지원센터,알수없음,연중무휴,00:00,24:00,False,True,DC차데모+AC3상+DC콤보,0,1,True,제주시,제주특별자치도 제주시 구좌읍 한동리 4849,제주특별자치도 제주시 구좌읍 일주동로 2706-40,환경부,33.5425723,126.812503,환경부,20240926.0,"[33.5425723, 126.812503]"
한국폴리텍대학 제주캠퍼스,알수없음,연중무휴,00:00,24:00,False,True,DC차데모+AC3상+DC콤보,0,1,True,제주시,제주특별자치도 제주시 아라일동 362-32,제주특별자치도 제주시 산천단동3길 2,환경부,33.4464702,126.5613493,환경부,20240926.0,"[33.4464702, 126.5613493]"
협재해수욕장,알수없음,연중무휴,00:00,24:00,False,True,DC차데모+AC3상+DC콤보,0,1,True,제주시,제주특별자치도 제주시 한림읍 금능리 2018,,환경부,33.390701,126.237628,환경부,20240926.0,"[33.390701, 126.237628]"
제주시 상하수도본부,알수없음,연중무휴,00:00,24:00,False,True,DC차데모+AC3상+DC콤보,0,1,False,제주시,제주특별자치도 제주시 조천읍 대흘리 2778-30,제주특별자치도 제주시 조천읍 중산간동로 601,환경부,33.4997499,126.6496365,환경부,20240926.0,"[33.4997499, 126.6496365]"
㈜행운식품,알수없음,연중무휴,00:00,24:00,False,True,DC차데모+AC3상+DC콤보,0,1,True,제주시,제주특별자치도 제주시 조천읍 함덕리 906,제주특별자치도 제주시 조천읍 일주동로 1208,환경부,33.536916,126.669926,환경부,20240926.0,"[33.536916, 126.669926]"
호텔시리우스,알수없음,연중무휴,00:00,24:00,False,True,DC차데모+AC3상+DC콤보,0,1,True,제주시,제주특별자치도 제주시 연동 2334-4,제주특별자치도 제주시 도령로 133,환경부,33.493426,126.490957,환경부,20240926.0,"[33.493426, 126.490957]"
황금어장주차장,황금어장주차장,연중무휴,00:00,24:00,False,True,DC콤보,0,2,True,제주시,제주특별자치도 제주시 연동 304-12,,블루네트웍스,33.484316,126.495818,블루네트웍스,20240923.0,"[33.484316, 126.495818]"
봄그리고가을리조트,알수없음,연중무휴,00:00,24:00,False,True,DC차데모+AC3상+DC콤보,0,1,True,서귀포시,제주특별자치도 서귀포시 성산읍 시흥리 208,제주특별자치도 서귀포시 성산읍 해맞이해안로 2660,환경부,33.4746716,126.9111064,환경부,20240926.0,"[33.4746716, 126.9111064]"
클럽다인리조트,알수없음,연중무휴,00:00,24:00,False,True,DC차데모+AC3상+DC콤보,0,1,True,제주시,제주특별자치도 제주시 애월읍 고내리 79-8,제주특별자치도 제주시 애월읍 애월해안로 400-9,환경부,33.4714854,126.3508918,환경부,20240926.0,"[33.4714854, 126.3508918]"
제주공항,알수없음,연중무휴,00:00,24:00,True,True,DC차데모+AC3상+DC콤보,6,10,True,제주시,제주특별자치도 제주시 용담이동 2002,제주특별자치도 제주시 공항로 2,환경부,33.506295,126.4941925,환경부,20240926.0,"[33.506295, 126.4941925]"
성산항 공영주차장,알수없음,연중무휴,00:00,24:00,False,True,DC차데모+AC3상+DC콤보,0,6,True,서귀포시,제주특별자치도 서귀포시 성산읍 성산리 347-9,제주특별자치도 서귀포시 성산읍 성산등용로 112-7,환경부,33.47234,126.932315,환경부,20240926.0,"[33.47234, 126.932315]"
성산항 공영주차장,알수없음,연중무휴,00:00,24:00,False,True,DC콤보,0,6,True,서귀포시,제주특별자치도 서귀포시 성산읍 성산리 347-9,제주특별자치도 서귀포시 성산읍 성산등용로 112-7,환경부,33.47234,126.932315,환경부,20240926.0,"[33.47234, 126.932315]"
대정문화체육센터,알수없음,연중무휴,00:00,24:00,False,True,DC차데모+AC3상+DC콤보,0,3,True,서귀포시,제주특별자치도 서귀포시 대정읍 동일리 3171,제주특별자치도 서귀포시 대정읍 암반수마농로 419,환경부,33.26401,126.2362478,환경부,20240926.0,"[33.26401, 126.2362478]"
대정문화체육센터,알수없음,연중무휴,00:00,24:00,False,True,DC콤보,0,3,True,서귀포시,제주특별자치도 서귀포시 대정읍 동일리 3171,제주특별자치도 서귀포시 대정읍 암반수마농로 419,환경부,33.26401,126.2362478,환경부,20240926.0,"[33.26401, 126.2362478]"
남원읍동부보건소,알수없음,연중무휴,00:00,24:00,False,True,DC차데모+AC3상+DC콤보,0,1,True,서귀포시,제주특별자치도 서귀포시 남원읍 남원리 2359-1,제주특별자치도 서귀포시 남원읍 태위로 527,환경부,33.275783,126.703417,환경부,20240926.0,"[33.275783, 126.703417]"
돈내코야영장,알수없음,연중무휴,00:00,24:00,False,True,DC차데모+AC3상+DC콤보,0,1,True,서귀포시,제주특별자치도 서귀포시 상효동 1459,제주특별자치도 서귀포시 돈내코로 114,환경부,33.300321,126.584802,환경부,20240926.0,"[33.300321, 126.584802]"
안덕면사무소,알수없음,연중무휴,00:00,24:00,True,True,DC차데모+AC3상+DC콤보,4,4,True,서귀포시,제주특별자치도 서귀포시 안덕면 화순리 1961-1,제주특별자치도 서귀포시 안덕면 화순서서로 74,환경부,33.257546,126.330743,환경부,20240926.0,"[33.257546, 126.330743]"
제주국제컨벤션센터2,알수없음,연중무휴,00:00,24:00,False,True,DC차데모+AC3상+DC콤보,0,1,True,서귀포시,제주특별자치도 서귀포시 중문동 2700,제주특별자치도 서귀포시 중문관광로 224,환경부,33.2421627,126.4253727,환경부,20240926.0,"[33.2421627, 126.4253727]"
구좌체육관,알수없음,연중무휴,00:00,24:00,False,True,DC차데모+AC3상+DC콤보,0,1,True,제주시,제주특별자치도 제주시 구좌읍 김녕리 497-1,제주특별자치도 제주시 구좌읍 김녕로 209,환경부,33.555875,126.7609623,환경부,20240219.0,"[33.555875, 126.7609623]"
제주해녀박물관,알수없음,연중무휴,00:00,24:00,False,True,DC차데모+AC3상+DC콤보,0,3,True,제주시,제주특별자치도 제주시 구좌읍 상도리 3204-1,제주특별자치도 제주시 구좌읍 해녀박물관길 26,환경부,33.5231878,126.8627696,환경부,20240115.0,"[33.5231878, 126.8627696]"
제주노루생태공원,알수없음,연중무휴,07:00,18:00,False,True,DC차데모+AC3상+DC콤보,0,1,True,제주시,제주특별자치도 제주시 봉개동 산 51-2,제주특별자치도 제주시 명림로 520,환경부,33.4445701,126.6274423,환경부,20240926.0,"[33.4445701, 126.6274423]"
별빛누리공원,알수없음,연중무휴,00:00,24:00,False,True,DC차데모+AC3상+DC콤보,0,1,True,제주시,제주특별자치도 제주시 오등동 10-34,제주특별자치도 제주시 선돌목동길 60,환경부,33.445028,126.549252,환경부,20240926.0,"[33.445028, 126.549252]"
조천체육관,알수없음,연중무휴,00:00,24:00,False,True,DC차데모+AC3상+DC콤보,0,2,True,제주시,제주특별자치도 제주시 조천읍 조천리 1176-1,제주특별자치도 제주시 조천읍 조천18길 11-1,환경부,33.5392904,126.6435681,환경부,20240926.0,"[33.5392904, 126.6435681]"
삼매봉도서관,알수없음,연중무휴,06:00,24:00,False,True,DC차데모+AC3상+DC콤보,0,1,True,서귀포시,제주특별자치도 서귀포시 서홍동 621,제주특별자치도 서귀포시 남성중로153번길 15,환경부,33.2446043,126.5519693,환경부,20240926.0,"[33.2446043, 126.5519693]"
제주영어교육도시사무소,알수없음,연중무휴,00:00,24:00,False,True,DC차데모+AC3상+DC콤보,0,1,True,서귀포시,제주특별자치도 서귀포시 대정읍 보성리 2410,제주특별자치도 서귀포시 대정읍 에듀시티로 86,환경부,33.287371,126.281962,환경부,20240926.0,"[33.287371, 126.281962]"
효돈동주민센터,알수없음,연중무휴,00:00,24:00,True,True,DC차데모+AC3상+DC콤보,1,1,True,서귀포시,제주특별자치도 서귀포시 하효동 152-1,제주특별자치도 서귀포시 남선동산로 26,환경부,33.26323,126.61563,환경부,20240926.0,"[33.26323, 126.61563]"
